,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
27,6,receive,earned,Spike,us,7 -- 13
28,1,serve,in_rally,2-Serve,none,7 -- 13
28,1,serve,earned,Block,us,8 -- 13
29,1,serve,in_rally,3-Serve,none,8 -- 13
29,1,serve,errors,3rd Ball Return,us,9 -- 13
30,1,serve,errors,Serve,them,9 -- 14
31,1,receive,in_rally,2-Pass,none,9 -- 14
31,1,receive,errors,Spike,them,9 -- 15
32,1,receive,in_rally,2-Pass,none,9 -- 15
33,1,receive,in_rally,Hit Still In Play,none,9 -- 15
34,1,receive,in_rally,1-FB Pass,none,9 -- 15
34,1,receive,earned,Spike,us,10 -- 15
35,2,serve,in_rally,1-Serve,none,10 -- 15
35,2,serve,earned,Spike,us,11 -- 15
36,2,serve,in_rally,3-Serve,none,11 -- 15
37,2,serve,in_rally,1-FB Pass,none,11 -- 15
38,2,serve,in_rally,Hit Still In Play,none,11 -- 15
38,2,serve,errors,Spike,us,12 -- 15
39,2,serve,in_rally,3-Serve,none,12 -- 15
39,2,serve,faults,Ball Handling,us,13 -- 15
40,2,serve,in_rally,3-Serve,none,13 -- 15
41,2,serve,in_rally,3-FB Pass,none,13 -- 15
41,2,serve,earned,Spike,us,14 -- 15
undefined,2,serve,timeout,them 1,undefined,undefined
42,2,serve,in_rally,2-Serve,none,14 -- 15
43,2,serve,in_rally,Dig,none,14 -- 15
43,2,serve,earned,Spike,us,15 -- 15
44,2,serve,in_rally,1-Serve,none,15 -- 15
45,2,serve,in_rally,Dig,none,15 -- 15
46,2,serve,in_rally,Hit Still In Play,none,15 -- 15
46,2,serve,errors,Dig,them,15 -- 16
47,2,receive,in_rally,2-Pass,none,15 -- 16
47,2,receive,earned,Tip,us,16 -- 16
48,3,serve,errors,Serve,them,16 -- 17
49,3,receive,in_rally,Over Pass in Play,none,16 -- 17
49,3,receive,faults,Net,us,17 -- 17
50,4,serve,errors,Serve,them,17 -- 18
51,4,receive,errors,Serve,us,18 -- 18
52,5,serve,in_rally,2-Serve,none,18 -- 18
53,5,serve,in_rally,Dig,none,18 -- 18
54,5,serve,in_rally,Hit Still In Play,none,18 -- 18
55,5,serve,in_rally,2-FB Pass,none,18 -- 18
55,5,serve,errors,Spike,them,18 -- 19
56,5,receive,in_rally,1-Pass,none,18 -- 19
57,5,receive,in_rally,Hit Still In Play,none,18 -- 19
57,5,receive,errors,Dig,them,18 -- 20
58,5,receive,in_rally,2-Pass,none,18 -- 20
58,5,receive,earned,Spike,us,19 -- 20
59,6,serve,in_rally,2-Serve,none,19 -- 20
59,6,serve,earned,Spike,them,19 -- 21
60,6,receive,in_rally,1-Pass,none,19 -- 21
61,6,receive,in_rally,1-FB Pass,none,19 -- 21
61,6,receive,earned,Spike,us,20 -- 21
62,1,serve,in_rally,2-Serve,none,20 -- 21
62,1,serve,faults,Under,us,21 -- 21
63,1,serve,errors,Serve,them,21 -- 22
64,1,receive,in_rally,Over Pass in Play,none,21 -- 22
65,1,receive,in_rally,Hit Still In Play,none,21 -- 22
66,1,receive,in_rally,1-FB Pass,none,21 -- 22
67,1,receive,in_rally,Hit Still In Play,none,21 -- 22
68,1,receive,in_rally,Dig,none,21 -- 22
68,1,receive,earned,Spike,us,22 -- 22
69,2,serve,in_rally,3-Serve,none,22 -- 22
70,2,serve,in_rally,Dig,none,22 -- 22
70,2,serve,faults,Net,them,22 -- 23
undefined,2,serve,timeout,us 1,undefined,undefined
71,2,receive,in_rally,1-Pass,none,22 -- 23
72,2,receive,in_rally,Hit Still In Play,none,22 -- 23
73,2,receive,in_rally,3-FB Pass,none,22 -- 23
74,2,receive,in_rally,Dig,none,22 -- 23
74,2,receive,errors,Spike,them,22 -- 24
75,2,receive,in_rally,3-Pass,none,22 -- 24
75,2,receive,earned,Spike,us,23 -- 24
undefined,2,receive,timeout,them 2,undefined,undefined
76,3,serve,in_rally,1-Serve,none,23 -- 24
76,3,serve,errors,Dig,them,23 -- 25
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,5,serve,in_rally,1-Serve,none,0 -- 0
1,5,serve,earned,Spike,them,0 -- 1
2,5,receive,in_rally,2-Pass,none,0 -- 1
2,5,receive,earned,Spike,us,1 -- 1
3,6,serve,in_rally,2-Serve,none,1 -- 1
3,6,serve,errors,Dig,them,1 -- 2
4,6,receive,in_rally,2-Pass,none,1 -- 2
5,6,receive,in_rally,Hit Still In Play,none,1 -- 2
6,6,receive,in_rally,Dig,none,1 -- 2
7,6,receive,in_rally,3-FB Pass,none,1 -- 2
7,6,receive,earned,Spike,us,2 -- 2
8,1,serve,earned,Ace,us,3 -- 2
9,1,serve,in_rally,2-Serve,none,3 -- 2
9,1,serve,earned,Spike,us,4 -- 2
10,1,serve,in_rally,2-Serve,none,4 -- 2
10,1,serve,errors,Spike,us,5 -- 2
11,1,serve,in_rally,3-Serve,none,5 -- 2
11,1,serve,earned,Spike,them,5 -- 3
12,1,receive,in_rally,3-Pass,none,5 -- 3
12,1,receive,errors,Set,them,5 -- 4
13,1,receive,faults,Out of Rotation,them,5 -- 5
14,1,receive,errors,Serve,us,6 -- 5
15,2,serve,in_rally,3-Serve,none,6 -- 5
15,2,serve,faults,Ball Handling,us,7 -- 5
16,2,serve,in_rally,3-Serve,none,7 -- 5
16,2,serve,faults,Back Row Attack,us,8 -- 5
17,2,serve,in_rally,1-Serve,none,8 -- 5
17,2,serve,errors,Tip,us,9 -- 5
18,2,serve,in_rally,2-Serve,none,9 -- 5
18,2,serve,earned,Spike,them,9 -- 6
19,2,receive,in_rally,2-Pass,none,9 -- 6
19,2,receive,errors,Spike,them,9 -- 7
20,2,receive,in_rally,1-Pass,none,9 -- 7
20,2,receive,errors,Spike,them,9 -- 8
21,2,receive,errors,Receive,them,9 -- 9
22,2,receive,errors,Receive,them,9 -- 10
23,2,receive,in_rally,1-Pass,none,9 -- 10
23,2,receive,errors,Spike,them,9 -- 11
24,2,receive,errors,Serve,us,10 -- 11
25,3,serve,in_rally,1-Serve,none,10 -- 11
25,3,serve,earned,Spike,them,10 -- 12
26,3,receive,in_rally,3-Pass,none,10 -- 12
26,3,receive,earned,Spike,us,11 -- 12
27,4,serve,in_rally,1-Serve,none,11 -- 12
27,4,serve,errors,Dig,them,11 -- 13
28,4,receive,in_rally,2-Pass,none,11 -- 13
29,4,receive,in_rally,Hit Still In Play,none,11 -- 13
29,4,receive,errors,Spike,us,12 -- 13
30,5,serve,in_rally,3-Serve,none,12 -- 13
30,5,serve,errors,Spike,us,13 -- 13
31,5,serve,in_rally,2-Serve,none,13 -- 13
31,5,serve,earned,Block,us,14 -- 13
32,5,serve,in_rally,3-Serve,none,14 -- 13
33,5,serve,in_rally,Dig,none,14 -- 13
33,5,serve,errors,Spike,them,14 -- 14
34,5,receive,errors,Serve,us,15 -- 14
35,6,serve,in_rally,3-Serve,none,15 -- 14
35,6,serve,earned,Spike,them,15 -- 15
36,6,receive,errors,Serve,us,16 -- 15
37,1,serve,earned,Ace,us,17 -- 15
38,1,serve,in_rally,3-Serve,none,17 -- 15
39,1,serve,in_rally,Dig,none,17 -- 15
39,1,serve,errors,Spike,them,17 -- 16
40,1,receive,in_rally,1-Pass,none,17 -- 16
40,1,receive,earned,Spike,us,18 -- 16
41,2,serve,in_rally,3-Serve,none,18 -- 16
41,2,serve,errors,Spike,us,19 -- 16
42,2,serve,earned,Ace,us,20 -- 16
43,2,serve,in_rally,2-Serve,none,20 -- 16
44,2,serve,in_rally,Dig,none,20 -- 16
44,2,serve,errors,Spike,us,21 -- 16
undefined,2,serve,timeout,them 1,undefined,undefined
45,2,serve,in_rally,3-Serve,none,21 -- 16
46,2,serve,in_rally,Dig,none,21 -- 16
47,2,serve,in_rally,Hit Still In Play,none,21 -- 16
48,2,serve,in_rally,1-FB Pass,none,21 -- 16
49,2,serve,in_rally,Hit Still In Play,none,21 -- 16
50,2,serve,in_rally,Dig,none,21 -- 16
50,2,serve,earned,Tip,us,22 -- 16
51,2,serve,in_rally,3-Serve,none,22 -- 16
51,2,serve,errors,Set,us,23 -- 16
52,2,serve,in_rally,2-Serve,none,23 -- 16
52,2,serve,earned,Block,us,24 -- 16
53,2,serve,errors,Serve,them,24 -- 17
54,2,receive,errors,Serve,us,25 -- 17
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,5,receive,in_rally,1-Pass,none,0 -- 0
1,5,receive,earned,Spike,us,1 -- 0
2,6,serve,in_rally,1-Serve,none,1 -- 0
3,6,serve,in_rally,Dig,none,1 -- 0
4,6,serve,in_rally,Hit Still In Play,none,1 -- 0
4,6,serve,earned,Spike,them,1 -- 1
5,6,receive,in_rally,2-Pass,none,1 -- 1
6,6,receive,in_rally,Hit Still In Play,none,1 -- 1
6,6,receive,earned,Spike,them,1 -- 2
7,6,receive,in_rally,2-Pass,none,1 -- 2
7,6,receive,earned,Spike,us,2 -- 2
8,1,serve,in_rally,1-Serve,none,2 -- 2
8,1,serve,errors,Set,us,3 -- 2
9,1,serve,in_rally,1-Serve,none,3 -- 2
10,1,serve,in_rally,Dig,none,3 -- 2
10,1,serve,earned,Spike,them,3 -- 3
11,1,receive,errors,Serve,us,4 -- 3
12,2,serve,errors,Serve,them,4 -- 4
13,2,receive,errors,Receive,them,4 -- 5
14,2,receive,in_rally,1-Pass,none,4 -- 5
14,2,receive,earned,Spike,them,4 -- 6
15,2,receive,in_rally,1-Pass,none,4 -- 6
15,2,receive,errors,Spike,us,5 -- 6
16,3,serve,in_rally,3-Serve,none,5 -- 6
16,3,serve,errors,Spike,us,6 -- 6
17,3,serve,in_rally,1-Serve,none,6 -- 6
17,3,serve,faults,Ball Handling,us,7 -- 6
18,3,serve,earned,Ace,us,8 -- 6
19,3,serve,in_rally,2-Serve,none,8 -- 6
19,3,serve,errors,Spike,us,9 -- 6
20,3,serve,in_rally,2-Serve,none,9 -- 6
21,3,serve,in_rally,Dig,none,9 -- 6
21,3,serve,earned,Spike,us,10 -- 6
undefined,3,serve,timeout,them 1,undefined,undefined
21,3,serve,errors,Serve,them,10 -- 7
22,3,receive,in_rally,1-Pass,none,10 -- 7
22,3,receive,errors,Spike,them,10 -- 8
23,3,receive,in_rally,1-Pass,none,10 -- 8
23,3,receive,earned,Spike,us,11 -- 8
24,4,serve,in_rally,3-Serve,none,11 -- 8
24,4,serve,earned,Dump,them,11 -- 9
25,4,receive,in_rally,3-Pass,none,11 -- 9
25,4,receive,errors,Spike,them,11 -- 10
26,4,receive,in_rally,2-Pass,none,11 -- 10
26,4,receive,earned,Spike,us,12 -- 10
27,5,serve,in_rally,2-Serve,none,12 -- 10
28,5,serve,in_rally,Dig,none,12 -- 10
29,5,serve,in_rally,Hit Still In Play,none,12 -- 10
30,5,serve,in_rally,Dig,none,12 -- 10
30,5,serve,errors,Spike,them,12 -- 11
31,5,receive,in_rally,1-Pass,none,12 -- 11
32,5,receive,in_rally,Hit Still In Play,none,12 -- 11
33,5,receive,in_rally,Dig,none,12 -- 11
34,5,receive,in_rally,Hit Still In Play,none,12 -- 11
34,5,receive,earned,Spike,them,12 -- 12
35,5,receive,in_rally,3-Pass,none,12 -- 12
35,5,receive,faults,Under,them,12 -- 13
36,5,receive,errors,Receive,them,12 -- 14
37,5,receive,errors,Receive,them,12 -- 15
undefined,5,receive,timeout,us 1,undefined,undefined
38,5,receive,in_rally,3-Pass,none,12 -- 15
38,5,receive,earned,Spike,us,13 -- 15
39,6,serve,in_rally,2-Serve,none,13 -- 15
39,6,serve,earned,Block,us,14 -- 15
40,6,serve,in_rally,1-Serve,none,14 -- 15
41,6,serve,in_rally,Dig,none,14 -- 15
41,6,serve,earned,Spike,us,15 -- 15
42,6,serve,earned,Ace,us,16 -- 15
43,6,serve,in_rally,2-Serve,none,16 -- 15
43,6,serve,earned,Tip,them,16 -- 16
44,6,receive,in_rally,1-Pass,none,16 -- 16
44,6,receive,errors,Dump,them,16 -- 17
45,6,receive,faults,Out of Rotation,them,16 -- 18
46,6,receive,errors,Serve,us,17 -- 18
47,1,serve,in_rally,3-Serve,none,17 -- 18
47,1,serve,errors,Spike,us,18 -- 18
48,1,serve,in_rally,2-Serve,none,18 -- 18
48,1,serve,earned,Spike,them,18 -- 19
49,1,receive,errors,Serve,us,19 -- 19
50,2,serve,in_rally,2-Serve,none,19 -- 19
51,2,serve,in_rally,Dig,none,19 -- 19
51,2,serve,errors,Dig,them,19 -- 20
52,2,receive,in_rally,1-Pass,none,19 -- 20
52,2,receive,earned,Block,us,20 -- 20
53,3,serve,in_rally,2-Serve,none,20 -- 20
53,3,serve,earned,Spike,them,20 -- 21
54,3,receive,in_rally,3-Pass,none,20 -- 21
55,3,receive,in_rally,Hit Still In Play,none,20 -- 21
55,3,receive,errors,3rd Ball Return,us,21 -- 21
56,4,serve,in_rally,1-Serve,none,21 -- 21
56,4,serve,errors,Set,us,22 -- 21
57,4,serve,errors,Serve,them,22 -- 22
58,4,receive,errors,Serve,us,23 -- 22
59,5,serve,in_rally,1-Serve,none,23 -- 22
59,5,serve,errors,Spike,us,24 -- 22
undefined,5,serve,timeout,them 2,undefined,undefined
59,5,serve,errors,Serve,them,24 -- 23
60,5,receive,in_rally,1-Pass,none,24 -- 23
60,5,receive,earned,Spike,us,25 -- 23
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,5,receive,errors,Serve,us,1 -- 0
2,6,serve,in_rally,1-Serve,none,1 -- 0
2,6,serve,earned,Spike,them,1 -- 1
3,6,receive,in_rally,2-Pass,none,1 -- 1
4,6,receive,in_rally,Hit Still In Play,none,1 -- 1
4,6,receive,errors,Spike,us,2 -- 1
5,1,serve,earned,Ace,us,3 -- 1
6,1,serve,in_rally,3-Serve,none,3 -- 1
6,1,serve,errors,3rd Ball Return,us,4 -- 1
7,1,serve,in_rally,2-Serve,none,4 -- 1
7,1,serve,earned,Block,us,5 -- 1
8,1,serve,in_rally,3-Serve,none,5 -- 1
8,1,serve,errors,3rd Ball Return,us,6 -- 1
undefined,1,serve,timeout,them 1,undefined,undefined
9,1,serve,in_rally,3-Serve,none,6 -- 1
9,1,serve,earned,Tip,them,6 -- 2
10,1,receive,errors,Serve,us,7 -- 2
11,2,serve,in_rally,2-Serve,none,7 -- 2
11,2,serve,earned,Spike,them,7 -- 3
12,2,receive,in_rally,Over Pass in Play,none,7 -- 3
12,2,receive,earned,Block,us,8 -- 3
13,3,serve,errors,Serve,them,8 -- 4
14,3,receive,in_rally,2-Pass,none,8 -- 4
14,3,receive,earned,Spike,us,9 -- 4
15,4,serve,in_rally,2-Serve,none,9 -- 4
16,4,serve,in_rally,Dig,none,9 -- 4
16,4,serve,earned,Spike,them,9 -- 5
17,4,receive,in_rally,2-Pass,none,9 -- 5
17,4,receive,earned,Spike,us,10 -- 5
18,5,serve,in_rally,2-Serve,none,10 -- 5
19,5,serve,in_rally,Dig,none,10 -- 5
19,5,serve,errors,Free Ball Receive,us,11 -- 5
20,5,serve,in_rally,2-Serve,none,11 -- 5
20,5,serve,earned,Tip,them,11 -- 6
21,5,receive,in_rally,1-Pass,none,11 -- 6
21,5,receive,faults,Ball Handling,them,11 -- 7
22,5,receive,in_rally,1-Pass,none,11 -- 7
23,5,receive,in_rally,Hit Still In Play,none,11 -- 7
23,5,receive,errors,Set,us,12 -- 7
24,6,serve,in_rally,1-Serve,none,12 -- 7
24,6,serve,earned,Spike,them,12 -- 8
25,6,receive,in_rally,1-Pass,none,12 -- 8
25,6,receive,errors,Spike,them,12 -- 9
26,6,receive,in_rally,3-Pass,none,12 -- 9
26,6,receive,earned,Spike,us,13 -- 9
27,1,serve,in_rally,2-Serve,none,13 -- 9
27,1,serve,earned,Spike,them,13 -- 10
28,1,receive,in_rally,2-Pass,none,13 -- 10
28,1,receive,earned,Spike,us,14 -- 10
29,2,serve,in_rally,3-Serve,none,14 -- 10
29,2,serve,earned,Spike,us,15 -- 10
30,2,serve,in_rally,3-Serve,none,15 -- 10
30,2,serve,faults,Under,them,15 -- 11
31,2,receive,in_rally,1-Pass,none,15 -- 11
31,2,receive,earned,Spike,us,16 -- 11
32,3,serve,errors,Serve,them,16 -- 12
33,3,receive,in_rally,2-Pass,none,16 -- 12
33,3,receive,earned,Spike,us,17 -- 12
34,4,serve,in_rally,1-Serve,none,17 -- 12
34,4,serve,faults,Net,us,18 -- 12
35,4,serve,in_rally,2-Serve,none,18 -- 12
36,4,serve,in_rally,Dig,none,18 -- 12
36,4,serve,errors,3rd Ball Return,us,19 -- 12
37,4,serve,errors,Serve,them,19 -- 13
38,4,receive,in_rally,1-Pass,none,19 -- 13
38,4,receive,errors,Spike,them,19 -- 14
39,4,receive,in_rally,2-Pass,none,19 -- 14
39,4,receive,errors,Spike,them,19 -- 15
40,4,receive,in_rally,1-Pass,none,19 -- 15
41,4,receive,in_rally,Dig,none,19 -- 15
41,4,receive,earned,Spike,them,19 -- 16
undefined,4,receive,timeout,us 1,undefined,undefined
42,4,receive,in_rally,2-Pass,none,19 -- 16
42,4,receive,earned,Spike,us,20 -- 16
43,5,serve,in_rally,3-Serve,none,20 -- 16
43,5,serve,earned,Spike,them,20 -- 17
44,5,receive,in_rally,1-Pass,none,20 -- 17
44,5,receive,earned,Spike,us,21 -- 17
45,6,serve,in_rally,2-Serve,none,21 -- 17
45,6,serve,errors,Tip,us,22 -- 17
46,6,serve,in_rally,2-Serve,none,22 -- 17
46,6,serve,errors,Dig,them,22 -- 18
47,6,receive,errors,Receive,them,22 -- 19
48,6,receive,errors,Receive,them,22 -- 20
49,6,receive,errors,Serve,us,23 -- 20
50,1,serve,in_rally,1-Serve,none,23 -- 20
50,1,serve,earned,Spike,them,23 -- 21
51,1,receive,in_rally,1-Pass,none,23 -- 21
51,1,receive,errors,Spike,us,24 -- 21
52,2,serve,in_rally,2-Serve,none,24 -- 21
53,2,serve,in_rally,Over Pass in Play,none,24 -- 21
53,2,serve,errors,Spike,us,25 -- 21
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,5,serve,in_rally,2-Serve,none,0 -- 0
1,5,serve,earned,Block,us,1 -- 0
2,5,serve,in_rally,3-Serve,none,1 -- 0
2,5,serve,earned,Spike,them,1 -- 1
3,5,receive,in_rally,2-Pass,none,1 -- 1
4,5,receive,in_rally,Hit Still In Play,none,1 -- 1
4,5,receive,errors,3rd Ball Return,us,2 -- 1
5,6,serve,in_rally,2-Serve,none,2 -- 1
5,6,serve,errors,Dig,them,2 -- 2
6,6,receive,in_rally,2-Pass,none,2 -- 2
6,6,receive,earned,Tip,us,3 -- 2
7,1,serve,in_rally,2-Serve,none,3 -- 2
8,1,serve,in_rally,Dig,none,3 -- 2
9,1,serve,in_rally,Hit Still In Play,none,3 -- 2
9,1,serve,earned,Block,us,4 -- 2
10,1,serve,errors,Serve,them,4 -- 3
11,1,receive,in_rally,1-Pass,none,4 -- 3
11,1,receive,earned,Spike,us,5 -- 3
12,2,serve,in_rally,1-Serve,none,5 -- 3
12,2,serve,earned,Spike,them,5 -- 4
13,2,receive,in_rally,3-Pass,none,5 -- 4
13,2,receive,earned,Spike,us,6 -- 4
14,3,serve,errors,Serve,them,6 -- 5
15,3,receive,in_rally,3-Pass,none,6 -- 5
15,3,receive,earned,Spike,us,7 -- 5
16,4,serve,in_rally,1-Serve,none,7 -- 5
16,4,serve,faults,Net,them,7 -- 6
17,4,receive,in_rally,3-Pass,none,7 -- 6
18,4,receive,in_rally,Hit Still In Play,none,7 -- 6
19,4,receive,in_rally,Dig,none,7 -- 6
20,4,receive,in_rally,Dig,none,7 -- 6
21,4,receive,in_rally,Hit Still In Play,none,7 -- 6
21,4,receive,earned,Spike,them,7 -- 7
22,4,receive,in_rally,2-Pass,none,7 -- 7
23,4,receive,in_rally,Hit Still In Play,none,7 -- 7
23,4,receive,faults,Back Row Attack,us,8 -- 7
24,5,serve,errors,Serve,them,8 -- 8
25,5,receive,errors,Receive,them,8 -- 9
26,5,receive,in_rally,2-Pass,none,8 -- 9
26,5,receive,earned,Spike,us,9 -- 9
27,6,serve,in_rally,2-Serve,none,9 -- 9
27,6,serve,errors,Dig,them,9 -- 10
28,6,receive,in_rally,1-Pass,none,9 -- 10
28,6,receive,earned,Spike,them,9 -- 11
29,6,receive,errors,Serve,us,10 -- 11
30,1,serve,in_rally,2-Serve,none,10 -- 11
30,1,serve,earned,Spike,them,10 -- 12
