,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
24,5,serve,in_rally,2-FB Pass,none,10 -- 8
24,5,serve,earned,Down Ball Hit,us,11 -- 8
25,5,serve,in_rally,2-Serve,none,11 -- 8
25,5,serve,errors,Spike,us,12 -- 8
26,5,serve,in_rally,2-Serve,none,12 -- 8
27,5,serve,in_rally,Dig,none,12 -- 8
27,5,serve,earned,Spike,us,13 -- 8
28,5,serve,errors,Serve,them,13 -- 9
29,5,receive,in_rally,2-Pass,none,13 -- 9
29,5,receive,earned,Spike,us,14 -- 9
30,6,serve,in_rally,3-Serve,none,14 -- 9
31,6,serve,in_rally,Dig,none,14 -- 9
31,6,serve,errors,Spike,them,14 -- 10
32,6,receive,in_rally,2-Pass,none,14 -- 10
32,6,receive,errors,Spike,them,14 -- 11
33,6,receive,in_rally,3-Pass,none,14 -- 11
34,6,receive,in_rally,Hit Still In Play,none,14 -- 11
35,6,receive,in_rally,Dig,none,14 -- 11
35,6,receive,earned,Spike,us,15 -- 11
36,1,serve,in_rally,2-Serve,none,15 -- 11
36,1,serve,errors,Spike,us,16 -- 11
37,1,serve,errors,Serve,them,16 -- 12
38,1,receive,faults,Out of Rotation,them,16 -- 13
39,1,receive,errors,Serve,us,17 -- 13
40,2,serve,errors,Serve,them,17 -- 14
41,2,receive,in_rally,3-Pass,none,17 -- 14
41,2,receive,earned,Spike,us,18 -- 14
42,3,serve,in_rally,2-Serve,none,18 -- 14
42,3,serve,faults,Ball Handling,us,19 -- 14
43,3,serve,in_rally,3-Serve,none,19 -- 14
43,3,serve,errors,Whose Ball?,us,20 -- 14
undefined,3,serve,timeout,them 1,undefined,undefined
44,3,serve,in_rally,2-Serve,none,20 -- 14
44,3,serve,errors,Spike,us,21 -- 14
45,3,serve,in_rally,3-Serve,none,21 -- 14
45,3,serve,earned,Block,us,22 -- 14
46,3,serve,in_rally,3-Serve,none,22 -- 14
46,3,serve,earned,Tip,them,22 -- 15
47,3,receive,in_rally,1-Pass,none,22 -- 15
48,3,receive,in_rally,Dig,none,22 -- 15
49,3,receive,in_rally,Hit Still In Play,none,22 -- 15
50,3,receive,in_rally,3-FB Pass,none,22 -- 15
50,3,receive,errors,Spike,them,22 -- 16
51,3,receive,errors,Serve,us,23 -- 16
52,4,serve,in_rally,2-Serve,none,23 -- 16
53,4,serve,in_rally,Blocks Still In Play,none,23 -- 16
53,4,serve,errors,Set,them,23 -- 17
54,4,receive,in_rally,1-Pass,none,23 -- 17
55,4,receive,in_rally,Hit Still In Play,none,23 -- 17
56,4,receive,in_rally,Dig,none,23 -- 17
57,4,receive,in_rally,Hit Still In Play,none,23 -- 17
58,4,receive,in_rally,Dig,none,23 -- 17
59,4,receive,in_rally,Hit Still In Play,none,23 -- 17
59,4,receive,errors,Spike,them,23 -- 18
60,4,receive,in_rally,2-Pass,none,23 -- 18
61,4,receive,in_rally,Dig,none,23 -- 18
61,4,receive,earned,Spike,them,23 -- 19
62,4,receive,in_rally,3-Pass,none,23 -- 19
62,4,receive,errors,Spike,them,23 -- 20
63,4,receive,in_rally,3-Pass,none,23 -- 20
64,4,receive,in_rally,Hit Still In Play,none,23 -- 20
65,4,receive,in_rally,Dig,none,23 -- 20
66,4,receive,in_rally,Hit Still In Play,none,23 -- 20
66,4,receive,errors,Block,them,23 -- 21
67,4,receive,in_rally,1-Pass,none,23 -- 21
68,4,receive,in_rally,3-FB Pass,none,23 -- 21
68,4,receive,earned,Tip,us,24 -- 21
69,5,serve,in_rally,2-Serve,none,24 -- 21
70,5,serve,in_rally,3-FB Pass,none,24 -- 21
70,5,serve,earned,Spike,us,25 -- 21
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,1,serve,earned,Ace,us,1 -- 0
2,1,serve,in_rally,3-Serve,none,1 -- 0
3,1,serve,in_rally,Dig,none,1 -- 0
3,1,serve,earned,Spike,us,2 -- 0
4,1,serve,in_rally,2-Serve,none,2 -- 0
4,1,serve,errors,Tip,us,3 -- 0
5,1,serve,in_rally,3-Serve,none,3 -- 0
5,1,serve,faults,Ball Handling,us,4 -- 0
6,1,serve,in_rally,1-Serve,none,4 -- 0
6,1,serve,earned,Block,us,5 -- 0
7,1,serve,in_rally,1-Serve,none,5 -- 0
8,1,serve,in_rally,Dig,none,5 -- 0
8,1,serve,earned,Spike,us,6 -- 0
undefined,1,serve,timeout,them 1,undefined,undefined
9,1,serve,in_rally,2-Serve,none,6 -- 0
10,1,serve,in_rally,Dig,none,6 -- 0
10,1,serve,faults,Net,them,6 -- 1
11,1,receive,in_rally,3-Pass,none,6 -- 1
11,1,receive,earned,Spike,us,7 -- 1
12,2,serve,in_rally,2-Serve,none,7 -- 1
13,2,serve,in_rally,Dig,none,7 -- 1
14,2,serve,in_rally,Hit Still In Play,none,7 -- 1
14,2,serve,errors,Spike,us,8 -- 1
15,2,serve,in_rally,3-Serve,none,8 -- 1
15,2,serve,errors,Whose Ball?,us,9 -- 1
16,2,serve,in_rally,3-Serve,none,9 -- 1
17,2,serve,in_rally,3-FB Pass,none,9 -- 1
17,2,serve,earned,Spike,us,10 -- 1
18,2,serve,errors,Serve,them,10 -- 2
19,2,receive,in_rally,Over Pass in Play,none,10 -- 2
19,2,receive,errors,Whose Ball?,us,11 -- 2
20,3,serve,errors,Serve,them,11 -- 3
21,3,receive,in_rally,2-Pass,none,11 -- 3
22,3,receive,in_rally,Hit Still In Play,none,11 -- 3
22,3,receive,earned,Spike,us,12 -- 3
23,4,serve,in_rally,2-Serve,none,12 -- 3
24,4,serve,in_rally,Dig,none,12 -- 3
24,4,serve,earned,Dump,us,13 -- 3
25,4,serve,errors,Serve,them,13 -- 4
26,4,receive,in_rally,3-Pass,none,13 -- 4
26,4,receive,earned,Spike,us,14 -- 4
27,5,serve,in_rally,2-Serve,none,14 -- 4
28,5,serve,in_rally,Dig,none,14 -- 4
28,5,serve,errors,3rd Ball Return,them,14 -- 5
29,5,receive,in_rally,1-Pass,none,14 -- 5
30,5,receive,in_rally,Hit Still In Play,none,14 -- 5
31,5,receive,in_rally,Dig,none,14 -- 5
32,5,receive,in_rally,Dig,none,14 -- 5
32,5,receive,earned,Spike,us,15 -- 5
33,6,serve,errors,Serve,them,15 -- 6
34,6,receive,in_rally,1-Pass,none,15 -- 6
34,6,receive,errors,Spike,us,16 -- 6
35,1,serve,errors,Spike,us,17 -- 6
36,1,serve,errors,Spike,us,18 -- 6
37,1,serve,in_rally,3-Serve,none,18 -- 6
38,1,serve,in_rally,Dig,none,18 -- 6
38,1,serve,errors,Spike,them,18 -- 7
39,1,receive,errors,Receive,them,18 -- 8
40,1,receive,errors,Serve,us,19 -- 8
41,2,serve,earned,Ace,us,20 -- 8
42,2,serve,in_rally,2-Serve,none,20 -- 8
42,2,serve,errors,Spike,us,21 -- 8
43,2,serve,earned,Spike,them,21 -- 9
44,2,receive,in_rally,2-Pass,none,21 -- 9
44,2,receive,earned,Spike,us,22 -- 9
45,3,serve,in_rally,2-Serve,none,22 -- 9
46,3,serve,in_rally,Dig,none,22 -- 9
46,3,serve,earned,Spike,us,23 -- 9
47,3,serve,in_rally,2-Serve,none,23 -- 9
48,3,serve,in_rally,Dig,none,23 -- 9
49,3,serve,in_rally,Hit Still In Play,none,23 -- 9
50,3,serve,in_rally,Dig,none,23 -- 9
50,3,serve,errors,Spike,them,23 -- 10
51,3,receive,in_rally,1-Pass,none,23 -- 10
51,3,receive,earned,Tip,us,24 -- 10
52,4,serve,errors,Serve,them,24 -- 11
53,4,receive,in_rally,3-Pass,none,24 -- 11
54,4,receive,in_rally,Hit Still In Play,none,24 -- 11
54,4,receive,errors,3rd Ball Return,us,25 -- 11
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,6,receive,in_rally,3-Pass,none,0 -- 0
1,6,receive,errors,Spike,them,0 -- 1
2,6,receive,in_rally,3-Pass,none,0 -- 1
2,6,receive,earned,Spike,us,1 -- 1
3,1,serve,earned,Ace,us,2 -- 1
4,1,serve,in_rally,2-Serve,none,2 -- 1
4,1,serve,errors,Block,them,2 -- 2
5,1,receive,in_rally,3-Pass,none,2 -- 2
5,1,receive,earned,Tip,us,3 -- 2
6,2,serve,in_rally,1-Serve,none,3 -- 2
6,2,serve,errors,Block,them,3 -- 3
7,2,receive,in_rally,1-Pass,none,3 -- 3
8,2,receive,in_rally,Hit Still In Play,none,3 -- 3
8,2,receive,errors,Spike,us,4 -- 3
9,3,serve,in_rally,2-Serve,none,4 -- 3
10,3,serve,in_rally,Dig,none,4 -- 3
10,3,serve,errors,3rd Ball Return,them,4 -- 4
11,3,receive,in_rally,3-Pass,none,4 -- 4
11,3,receive,earned,Spike,us,5 -- 4
12,4,serve,in_rally,2-Serve,none,5 -- 4
13,4,serve,in_rally,Blocks Still In Play,none,5 -- 4
14,4,serve,in_rally,Dig,none,5 -- 4
15,4,serve,in_rally,Hit Still In Play,none,5 -- 4
16,4,serve,in_rally,3-FB Pass,none,5 -- 4
16,4,serve,errors,Spike,them,5 -- 5
17,4,receive,in_rally,3-Pass,none,5 -- 5
17,4,receive,errors,Spike,them,5 -- 6
18,4,receive,errors,Receive,them,5 -- 7
19,4,receive,in_rally,1-Pass,none,5 -- 7
19,4,receive,errors,Block,them,5 -- 8
undefined,4,receive,timeout,us 1,undefined,undefined
20,4,receive,in_rally,3-Pass,none,5 -- 8
20,4,receive,earned,Spike,us,6 -- 8
21,5,serve,in_rally,2-Serve,none,6 -- 8
22,5,serve,in_rally,Dig,none,6 -- 8
23,5,serve,in_rally,Blocks Still In Play,none,6 -- 8
23,5,serve,earned,Block,us,7 -- 8
24,5,serve,in_rally,3-Serve,none,7 -- 8
25,5,serve,in_rally,Dig,none,7 -- 8
25,5,serve,errors,Spike,us,8 -- 8
26,5,serve,in_rally,3-Serve,none,8 -- 8
27,5,serve,in_rally,Dig,none,8 -- 8
28,5,serve,in_rally,Hit Still In Play,none,8 -- 8
28,5,serve,errors,Tip,us,9 -- 8
29,5,serve,in_rally,2-Serve,none,9 -- 8
29,5,serve,earned,Spike,them,9 -- 9
30,5,receive,in_rally,3-Pass,none,9 -- 9
30,5,receive,errors,Spike,them,9 -- 10
31,5,receive,in_rally,2-Pass,none,9 -- 10
31,5,receive,earned,Spike,us,10 -- 10
32,6,serve,errors,Serve,them,10 -- 11
33,6,receive,in_rally,2-Pass,none,10 -- 11
33,6,receive,faults,Ball Handling,them,10 -- 12
34,6,receive,errors,Receive,them,10 -- 13
35,6,receive,in_rally,2-Pass,none,10 -- 13
36,6,receive,in_rally,Hit Still In Play,none,10 -- 13
37,6,receive,in_rally,Dig,none,10 -- 13
38,6,receive,in_rally,Hit Still In Play,none,10 -- 13
38,6,receive,errors,Block,them,10 -- 14
39,6,receive,in_rally,2-Pass,none,10 -- 14
40,6,receive,in_rally,Hit Still In Play,none,10 -- 14
41,6,receive,in_rally,Dig,none,10 -- 14
42,6,receive,in_rally,Hit Still In Play,none,10 -- 14
42,6,receive,earned,Spike,them,10 -- 15
43,6,receive,in_rally,3-Pass,none,10 -- 15
44,6,receive,in_rally,Hit Still In Play,none,10 -- 15
45,6,receive,in_rally,Dig,none,10 -- 15
46,6,receive,in_rally,Hit Still In Play,none,10 -- 15
47,6,receive,in_rally,3-FB Pass,none,10 -- 15
48,6,receive,in_rally,Hit Still In Play,none,10 -- 15
48,6,receive,errors,Spike,us,11 -- 15
49,1,serve,in_rally,2-Serve,none,11 -- 15
50,1,serve,in_rally,Dig,none,11 -- 15
51,1,serve,in_rally,Hit Still In Play,none,11 -- 15
52,1,serve,in_rally,Dig,none,11 -- 15
52,1,serve,earned,Spike,us,12 -- 15
53,1,serve,in_rally,1-Serve,none,12 -- 15
54,1,serve,in_rally,Dig,none,12 -- 15
55,1,serve,in_rally,Dig,none,12 -- 15
56,1,serve,in_rally,Hit Still In Play,none,12 -- 15
57,1,serve,in_rally,Dig,none,12 -- 15
58,1,serve,in_rally,Hit Still In Play,none,12 -- 15
59,1,serve,in_rally,Blocks Still In Play,none,12 -- 15
60,1,serve,in_rally,Dig,none,12 -- 15
60,1,serve,earned,Tip,us,13 -- 15
61,1,serve,earned,Spike,us,14 -- 15
62,1,serve,in_rally,2-Serve,none,14 -- 15
63,1,serve,in_rally,Dig,none,14 -- 15
63,1,serve,errors,Spike,them,14 -- 16
64,1,receive,in_rally,3-Pass,none,14 -- 16
65,1,receive,in_rally,Dig,none,14 -- 16
66,1,receive,in_rally,Hit Still In Play,none,14 -- 16
67,1,receive,in_rally,Dig,none,14 -- 16
68,1,receive,in_rally,Hit Still In Play,none,14 -- 16
68,1,receive,earned,Spike,them,14 -- 17
69,1,receive,in_rally,3-Pass,none,14 -- 17
69,1,receive,errors,Spike,them,14 -- 18
70,1,receive,in_rally,3-Pass,none,14 -- 18
70,1,receive,errors,Spike,them,14 -- 19
71,1,receive,in_rally,3-Pass,none,14 -- 19
72,1,receive,in_rally,Hit Still In Play,none,14 -- 19
72,1,receive,earned,Spike,us,15 -- 19
73,2,serve,in_rally,1-Serve,none,15 -- 19
73,2,serve,errors,Block,them,15 -- 20
74,2,receive,in_rally,2-Pass,none,15 -- 20
75,2,receive,in_rally,Hit Still In Play,none,15 -- 20
75,2,receive,errors,Whose Ball?,us,16 -- 20
76,3,serve,in_rally,2-Serve,none,16 -- 20
76,3,serve,earned,Spike,them,16 -- 21
77,3,receive,in_rally,3-Pass,none,16 -- 21
78,3,receive,in_rally,Hit Still In Play,none,16 -- 21
79,3,receive,in_rally,Dig,none,16 -- 21
79,3,receive,faults,Ball Handling,them,16 -- 22
80,3,receive,in_rally,3-Pass,none,16 -- 22
80,3,receive,errors,Tip,them,16 -- 23
81,3,receive,in_rally,3-Pass,none,16 -- 23
82,3,receive,in_rally,Hit Still In Play,none,16 -- 23
82,3,receive,errors,Spike,us,17 -- 23
83,4,serve,earned,Ace,us,18 -- 23
84,4,serve,in_rally,2-Serve,none,18 -- 23
84,4,serve,errors,Spike,us,19 -- 23
85,4,serve,in_rally,3-Serve,none,19 -- 23
86,4,serve,in_rally,1-FB Pass,none,19 -- 23
86,4,serve,earned,Spike,us,20 -- 23
undefined,4,serve,timeout,them 1,undefined,undefined
87,4,serve,in_rally,2-Serve,none,20 -- 23
88,4,serve,in_rally,Dig,none,20 -- 23
89,4,serve,in_rally,Hit Still In Play,none,20 -- 23
89,4,serve,earned,Block,us,21 -- 23
90,4,serve,in_rally,3-Serve,none,21 -- 23
91,4,serve,in_rally,Dig,none,21 -- 23
91,4,serve,errors,Whose Ball?,them,21 -- 24
92,4,receive,errors,Serve,us,22 -- 24
93,5,serve,in_rally,1-Serve,none,22 -- 24
93,5,serve,earned,Spike,them,22 -- 25
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,6,receive,in_rally,3-Pass,none,0 -- 0
1,6,receive,earned,Spike,us,1 -- 0
2,1,serve,in_rally,3-Serve,none,1 -- 0
3,1,serve,in_rally,Dig,none,1 -- 0
3,1,serve,earned,Spike,us,2 -- 0
4,1,serve,in_rally,2-Serve,none,2 -- 0
4,1,serve,earned,Spike,them,2 -- 1
5,1,receive,in_rally,2-Pass,none,2 -- 1
6,1,receive,in_rally,Hit Still In Play,none,2 -- 1
7,1,receive,in_rally,Blocks Still In Play,none,2 -- 1
8,1,receive,in_rally,Dig,none,2 -- 1
9,1,receive,in_rally,Hit Still In Play,none,2 -- 1
10,1,receive,in_rally,Dig,none,2 -- 1
10,1,receive,errors,Spike,them,2 -- 2
11,1,receive,in_rally,2-Pass,none,2 -- 2
12,1,receive,in_rally,Hit Still In Play,none,2 -- 2
13,1,receive,in_rally,Dig,none,2 -- 2
13,1,receive,errors,Spike,them,2 -- 3
14,1,receive,in_rally,2-Pass,none,2 -- 3
14,1,receive,earned,Spike,us,3 -- 3
15,2,serve,earned,Ace,us,4 -- 3
16,2,serve,in_rally,3-Serve,none,4 -- 3
16,2,serve,errors,Spike,us,5 -- 3
17,2,serve,in_rally,2-Serve,none,5 -- 3
18,2,serve,in_rally,Blocks Still In Play,none,5 -- 3
18,2,serve,errors,Whose Ball?,us,6 -- 3
19,2,serve,in_rally,2-Serve,none,6 -- 3
19,2,serve,errors,Dig,them,6 -- 4
20,2,receive,errors,Receive,them,6 -- 5
21,2,receive,in_rally,1-Pass,none,6 -- 5
21,2,receive,faults,Ball Handling,them,6 -- 6
22,2,receive,in_rally,3-Pass,none,6 -- 6
22,2,receive,earned,Spike,us,7 -- 6
23,3,serve,in_rally,1-Serve,none,7 -- 6
24,3,serve,in_rally,Blocks Still In Play,none,7 -- 6
25,3,serve,in_rally,Dig,none,7 -- 6
25,3,serve,earned,Spike,us,8 -- 6
26,3,serve,in_rally,2-Serve,none,8 -- 6
27,3,serve,in_rally,Dig,none,8 -- 6
28,3,serve,in_rally,Hit Still In Play,none,8 -- 6
29,3,serve,in_rally,3-FB Pass,none,8 -- 6
30,3,serve,in_rally,Hit Still In Play,none,8 -- 6
30,3,serve,errors,Spike,us,9 -- 6
31,3,serve,in_rally,2-Serve,none,9 -- 6
31,3,serve,errors,Spike,us,10 -- 6
32,3,serve,in_rally,2-Serve,none,10 -- 6
33,3,serve,in_rally,Dig,none,10 -- 6
33,3,serve,errors,Whose Ball?,them,10 -- 7
34,3,receive,in_rally,3-Pass,none,10 -- 7
34,3,receive,earned,Spike,us,11 -- 7
35,4,serve,in_rally,3-Serve,none,11 -- 7
36,4,serve,in_rally,3-FB Pass,none,11 -- 7
36,4,serve,errors,Spike,them,11 -- 8
37,4,receive,in_rally,3-Pass,none,11 -- 8
37,4,receive,earned,Spike,us,12 -- 8
38,5,serve,errors,Serve,them,12 -- 9
39,5,receive,in_rally,3-Pass,none,12 -- 9
39,5,receive,earned,Spike,us,13 -- 9
40,6,serve,errors,Serve,them,13 -- 10
41,6,receive,in_rally,3-Pass,none,13 -- 10
41,6,receive,errors,Spike,them,13 -- 11
42,6,receive,in_rally,1-Pass,none,13 -- 11
42,6,receive,errors,Set,them,13 -- 12
43,6,receive,in_rally,2-Pass,none,13 -- 12
44,6,receive,in_rally,Hit Still In Play,none,13 -- 12
45,6,receive,in_rally,Hit Still In Play,none,13 -- 12
46,6,receive,in_rally,Dig,none,13 -- 12
47,6,receive,in_rally,Hit Still In Play,none,13 -- 12
47,6,receive,earned,Block,us,14 -- 12
48,1,serve,in_rally,2-Serve,none,14 -- 12
48,1,serve,earned,Spike,them,14 -- 13
49,1,receive,in_rally,3-Pass,none,14 -- 13
49,1,receive,earned,Spike,us,15 -- 13
50,2,serve,in_rally,Dig,none,15 -- 13
50,2,serve,errors,Tip,them,15 -- 14
51,2,receive,in_rally,3-Pass,none,15 -- 14
51,2,receive,errors,Spike,them,15 -- 15
52,2,receive,in_rally,2-Pass,none,15 -- 15
53,2,receive,in_rally,Hit Still In Play,none,15 -- 15
54,2,receive,in_rally,3-FB Pass,none,15 -- 15
54,2,receive,earned,Tip,us,16 -- 15
55,3,serve,in_rally,2-Serve,none,16 -- 15
55,3,serve,earned,Block,us,17 -- 15
56,3,serve,in_rally,1-Serve,none,17 -- 15
56,3,serve,errors,Spike,us,18 -- 15
57,3,serve,in_rally,3-Serve,none,18 -- 15
58,3,serve,in_rally,Dig,none,18 -- 15
58,3,serve,errors,Spike,them,18 -- 16
59,3,receive,in_rally,Over Pass in Play,none,18 -- 16
59,3,receive,faults,Net,us,19 -- 16
60,4,serve,in_rally,3-Serve,none,19 -- 16
60,4,serve,earned,Tip,us,20 -- 16
undefined,4,serve,timeout,us 1,undefined,undefined
61,4,serve,in_rally,3-Serve,none,20 -- 16
62,4,serve,in_rally,Dig,none,20 -- 16
63,4,serve,in_rally,Hit Still In Play,none,20 -- 16
63,4,serve,earned,Spike,them,20 -- 17
64,4,receive,in_rally,3-Pass,none,20 -- 17
64,4,receive,errors,Spike,them,20 -- 18
65,4,receive,in_rally,3-Pass,none,20 -- 18
65,4,receive,earned,Spike,us,21 -- 18
66,5,serve,in_rally,3-Serve,none,21 -- 18
67,5,serve,in_rally,Dig,none,21 -- 18
68,5,serve,in_rally,3-FB Pass,none,21 -- 18
68,5,serve,earned,Dump,us,22 -- 18
69,5,serve,in_rally,2-Serve,none,22 -- 18
70,5,serve,in_rally,Dig,none,22 -- 18
71,5,serve,in_rally,Hit Still In Play,none,22 -- 18
72,5,serve,in_rally,Blocks Still In Play,none,22 -- 18
72,5,serve,earned,Spike,us,23 -- 18
73,5,serve,in_rally,2-Serve,none,23 -- 18
73,5,serve,errors,Spike,us,24 -- 18
undefined,5,serve,timeout,them 1,undefined,undefined
74,5,serve,in_rally,2-Serve,none,24 -- 18
75,5,serve,in_rally,Dig,none,24 -- 18
75,5,serve,earned,Spike,us,25 -- 18
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,6,receive,in_rally,2-Pass,none,0 -- 0
2,6,receive,in_rally,Hit Still In Play,none,0 -- 0
3,6,receive,in_rally,3-FB Pass,none,0 -- 0
3,6,receive,earned,Spike,us,1 -- 0
4,1,serve,in_rally,2-Serve,none,1 -- 0
5,1,serve,in_rally,Blocks Still In Play,none,1 -- 0
5,1,serve,earned,Dump,us,2 -- 0
6,1,serve,in_rally,3-Serve,none,2 -- 0
7,1,serve,in_rally,2-FB Pass,none,2 -- 0
7,1,serve,errors,Spike,them,2 -- 1
8,1,receive,errors,Receive,them,2 -- 2
9,1,receive,errors,Serve,us,3 -- 2
10,2,serve,in_rally,3-Serve,none,3 -- 2
10,2,serve,errors,Dig,them,3 -- 3
11,2,receive,errors,Serve,us,4 -- 3
12,3,serve,errors,Serve,them,4 -- 4
13,3,receive,errors,Serve,us,5 -- 4
14,4,serve,in_rally,3-Serve,none,5 -- 4
15,4,serve,in_rally,3-FB Pass,none,5 -- 4
15,4,serve,earned,Dump,us,6 -- 4
16,4,serve,errors,Serve,them,6 -- 5
17,4,receive,errors,Serve,us,7 -- 5
